VersionIndex,VersionName,MethodFQN,LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy,BodyHash
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$CounterCallback#waitZero(),5,0,1,1,0,0,0,0,0,0,0,0.0,0,no,3171693c10cceb8a8bdabe9edd4bfa35a741fbf4add94394a11d7cab25956c88
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$CounterCallback#writeComplete(int,long,long,InetSocketAddress,Object)",6,5,1,1,0,0,0,0,0,0,0,0.0,0,no,337bce988bc7f971c6d15880c279a3da479a970aefdec9635ce093b70dcaf460
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$JournalIdFilter#accept(long),0,1,0,0,1,0,1,1,0,0,0,0.0,0,no,NULL_METHOD_HASH
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#<init>(long,long)",4,2,0,0,0,0,0,0,0,0,0,0.0,0,no,d9f63bcbfc02e7094c30830da1626154fd0b7add42cb7d41530c003f5413323c
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#markLog(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,e1553e9fa6939930926849d6043b3117b5f66d211df3ef7fa50a41279ea08fa5
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#readLog(),23,0,4,4,2,7,1,1,1,1,2,2.0,0,no,9cdeee82cb3d3b7fa14c7e0f2018a5e77ccd35b11ee64ceb01c5b4b3fc9b49ee
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#rollLog(),20,0,3,2,2,5,1,1,3,0,3,3.0,0,no,d152742e5383c226fcbbc4ef395269c97f2c520652623a04a0d7af5f52512121
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#setLastLogMark(long,long)",4,2,0,0,0,0,0,0,0,0,0,0.0,0,no,701b51c0f045e9abdb330c7f642fdb55ff0542620b235861255d133f79828303
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$LastLogMark#toString(),5,0,0,0,0,1,1,1,5,0,5,5.0,0,no,a940efb4c298c97685cd99ee640142f6e116d308e6fc3d390526d2d9d976f3ca
1,4.0.0,"bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$NoEntryException#<init>(long,long)",5,2,0,0,0,0,0,0,0,0,0,0.0,0,no,7b9bf10de8541981d486176c4e5d67bc319b30eef6d5a728fe69eb60b6ac5892
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$NoEntryException#getEntry(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,eb977876ce1b5e26425548e81771be8ff39adf441b076f97035724dbcf0bc02d
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$NoEntryException#getLedger(),3,0,0,0,0,0,0,0,0,0,0,0.0,0,no,16c725c186d3469e397e250a93a50e40d70549130d51b39cef16f34488e0919e
1,4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java/Bookie$NoLedgerException#<init>(long),3,1,0,0,0,0,0,0,0,0,0,0.0,0,no,375a023923d5b12f84fd1f1d0d20ce9ed0dd728ae4b338c3415cafcde726f920
