PROJ,WF_ITER,TR_SIZE,TE_SIZE,MODEL,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,THRESHOLD_STRATEGY,THRESHOLD,PRECISION,RECALL,F1,SPECIFICITY,BALANCED_ACCURACY,G_MEAN,MCC,KAPPA,AUC,TP,FP,TN,FN
BOOKKEEPER,1,2281,2940,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.12058212058212059,0.6236559139784946,0.2020905923344948,0.8514225500526871,0.7375392320155909,0.7286938373796016,0.22477538436796107,0.15742127809753378,0.8199292973928414,58,423,2424,35
BOOKKEEPER,1,2281,2940,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.17757009345794392,0.40860215053763443,0.24755700325732902,0.9381805409202669,0.6733913457289507,0.6191466600189185,0.2336268795605631,0.21284319452557734,0.6908857087823063,38,176,2671,55
BOOKKEEPER,1,2281,2940,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.1956521739130435,0.3870967741935484,0.25992779783393505,0.9480154548647699,0.6675561145291591,0.6057835623915376,0.24214581431132198,0.2274621998677188,0.7996702811108467,36,148,2699,57
BOOKKEEPER,1,2281,2940,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.14285714285714285,0.6129032258064516,0.23170731707317072,0.8798735511064278,0.7463883884564397,0.7343550488523296,0.2518237344868232,0.19015701037553923,0.8195988231339535,57,342,2505,36
BOOKKEEPER,1,2281,2940,IBk,none,none,CostSensitive,DEFAULT,0.5,0.18888888888888888,0.3655913978494624,0.2490842490842491,0.9487179487179487,0.6571546732837055,0.5889338851150182,0.22945721073141812,0.2163975349091187,0.6774816728418143,34,146,2701,59
BOOKKEEPER,2,5221,5865,RandomForest,none,none,none,DEFAULT,0.5,0.025,0.047619047619047616,0.03278688524590165,0.9933264887063655,0.5204727681627066,0.2174885315757357,0.02971620560716926,0.028223598298154077,0.8338385319904827,1,39,5805,20
BOOKKEEPER,2,5221,5865,NaiveBayes,none,none,none,DEFAULT,0.5,0.025896414342629483,0.6190476190476191,0.0497131931166348,0.9163244353182751,0.7676860271829471,0.7531589871726502,0.11430485889085557,0.043136107902311586,0.868522049476875,13,489,5355,8
BOOKKEEPER,2,5221,5865,IBk,none,none,none,DEFAULT,0.5,0.022222222222222223,0.19047619047619047,0.03980099502487563,0.9698836413415469,0.5801799159088687,0.42981361217150127,0.05553398722492985,0.033603544764172516,0.6340487598187804,4,176,5668,17
BOOKKEEPER,2,5221,5865,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.01639344262295082,0.047619047619047616,0.024390243902439025,0.9897330595482546,0.5186760535836511,0.2170947850427873,0.021991316985886977,0.019165161549267905,0.6984412176917311,1,60,5784,20
BOOKKEEPER,2,5221,5865,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.03064066852367688,0.5238095238095238,0.05789473684210526,0.9404517453798767,0.7321306345947003,0.70186721031351,0.115680958262017,0.05147762355090437,0.8728692024379909,11,348,5496,10
BOOKKEEPER,2,5221,5865,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.024,0.14285714285714285,0.04109589041095891,0.9791238877481178,0.5609905153026303,0.3739984506744299,0.05044824896089615,0.035180485053580214,0.47264186304227374,3,122,5722,18
BOOKKEEPER,2,5221,5865,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.03225806451612903,0.23809523809523808,0.05681818181818181,0.9743326488706365,0.6062139434829373,0.4816471364150504,0.07910289480087332,0.0508320903161651,0.8166251100029334,5,150,5694,16
