@relation training

@attribute LOC numeric
@attribute NumParameters numeric
@attribute NumBranches numeric
@attribute NestingDepth numeric
@attribute NumCodeSmells numeric
@attribute NumLocalVariables numeric
@attribute NumRevisions numeric
@attribute NumAuthors numeric
@attribute TotalStmtAdded numeric
@attribute TotalStmtDeleted numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute HasFixHistory numeric
@attribute IsBuggy {no,yes}

@data
34,1,3,3,1,9,10,5,307,1,34,30.8,1,no
3,2,0,0,0,0,9,5,27,0,3,3,1,no
3,0,0,0,0,0,9,5,27,0,3,3,1,no
16,1,0,0,3,4,9,5,144,0,16,16,1,no
24,2,5,4,2,2,24,13,196,16,19,8.833333,1,no
12,1,2,2,0,2,8,6,96,0,12,12,1,no
3,1,0,0,0,0,8,6,24,0,3,3,1,no
3,1,0,0,0,0,8,6,24,0,3,3,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,0,7,6,28,0,4,4,1,no
4,1,0,0,0,1,7,6,28,0,4,4,1,no
14,1,4,2,0,3,7,6,98,0,14,14,1,no
2,0,0,0,2,0,7,6,14,0,2,2,1,no
0,1,0,0,1,0,8,6,0,0,0,0,1,no
0,1,0,0,1,0,8,6,0,0,0,0,1,no
0,1,0,0,0,0,7,6,0,0,0,0,1,no
0,1,0,0,0,0,7,6,0,0,0,0,1,no
