Key,CreationDate,ResolutionDate,OpeningVersionIndex,OpeningVersionName,FixedVersionIndex,FixedVersionName,InjectedVersionIndex,InjectedVersionName,AffectedVersionIndices,AffectedVersionNames,NumAssociatedCommits
STORM-2918,2018-01-31,2018-02-02,20,1.0.6,20,1.0.6,18,1.1.1,18|19|21|26,1.1.1|1.0.5|1.2.0|2.0.0,3
STORM-2853,2017-12-13,2018-02-02,20,1.0.6,20,1.0.6,16,1.1.0,16,1.1.0,3
STORM-2913,2018-01-27,2018-02-06,20,1.0.6,20,1.0.6,20,1.0.6,21|26,1.2.0|2.0.0,3
STORM-2942,2018-02-07,2018-02-07,20,1.0.6,20,1.0.6,16,1.1.0,16|18,1.1.0|1.1.1,0
STORM-2934,2018-02-05,2018-02-07,20,1.0.6,20,1.0.6,20,1.0.6,26,2.0.0,3
STORM-2941,2018-02-07,2018-02-08,20,1.0.6,20,1.0.6,20,1.0.6,26,2.0.0,4
STORM-2940,2018-02-07,2018-02-10,20,1.0.6,20,1.0.6,20,1.0.6,,,2
STORM-2932,2018-02-02,2018-02-14,20,1.0.6,20,1.0.6,20,1.0.6,,,3
STORM-2951,2018-02-16,2018-02-16,24,1.1.3,24,1.1.3,21,1.2.0,21,1.2.0,0
STORM-2955,2018-02-16,2018-02-18,24,1.1.3,24,1.1.3,24,1.1.3,,,0
STORM-2950,2018-02-14,2018-02-18,20,1.0.6,24,1.1.3,17,1.0.4,,,3
STORM-2957,2018-02-17,2018-02-20,24,1.1.3,24,1.1.3,19,1.0.5,19,1.0.5,0
STORM-2969,2018-02-21,2018-02-24,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-2967,2018-02-20,2018-02-26,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-2965,2018-02-20,2018-02-26,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-2911,2018-01-24,2018-02-26,20,1.0.6,24,1.1.3,18,1.1.1,18|19|21|26,1.1.1|1.0.5|1.2.0|2.0.0,2
STORM-2981,2018-02-27,2018-03-01,24,1.1.3,24,1.1.3,22,1.1.2,22|23|26,1.1.2|1.2.1|2.0.0,3
STORM-2980,2018-02-27,2018-03-01,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-2978,2018-02-26,2018-03-01,24,1.1.3,24,1.1.3,22,1.1.2,22|23|26,1.1.2|1.2.1|2.0.0,3
STORM-2976,2018-02-26,2018-03-01,24,1.1.3,24,1.1.3,24,1.1.3,,,1
STORM-2968,2018-02-20,2018-03-01,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-2691,2017-08-08,2018-03-01,19,1.0.5,24,1.1.3,18,1.1.1,18|26,1.1.1|2.0.0,3
STORM-2762,2017-09-27,2018-03-06,20,1.0.6,24,1.1.3,17,1.0.4,26,2.0.0,5
STORM-2986,2018-03-05,2018-03-07,24,1.1.3,24,1.1.3,24,1.1.3,,,4
STORM-2989,2018-03-07,2018-03-20,24,1.1.3,24,1.1.3,22,1.1.2,22|23|26,1.1.2|1.2.1|2.0.0,3
STORM-2987,2018-03-06,2018-03-20,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-3002,2018-03-21,2018-03-21,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,0
STORM-3012,2018-03-27,2018-03-30,24,1.1.3,24,1.1.3,24,1.1.3,,,4
STORM-3009,2018-03-25,2018-03-30,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,4
STORM-2993,2018-03-12,2018-03-30,24,1.1.3,24,1.1.3,24,1.1.3,,,4
STORM-3018,2018-04-01,2018-04-02,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-2994,2018-03-13,2018-04-03,24,1.1.3,24,1.1.3,20,1.0.6,20|22|23|26,1.0.6|1.1.2|1.2.1|2.0.0,3
STORM-2983,2018-02-28,2018-04-05,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-3020,2018-04-03,2018-04-10,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-2979,2018-02-27,2018-04-11,24,1.1.3,24,1.1.3,20,1.0.6,20,1.0.6,3
STORM-3023,2018-04-10,2018-04-13,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-3043,2018-04-26,2018-04-27,24,1.1.3,24,1.1.3,20,1.0.6,20|22|23|26,1.0.6|1.1.2|1.2.1|2.0.0,2
STORM-3052,2018-04-30,2018-04-30,24,1.1.3,24,1.1.3,9,1.0.0,9,1.0.0,1
STORM-3021,2018-04-09,2018-04-30,24,1.1.3,24,1.1.3,24,1.1.3,,,3
STORM-2985,2018-03-02,2018-05-01,24,1.1.3,24,1.1.3,20,1.0.6,20|22|23,1.0.6|1.1.2|1.2.1,0
STORM-2171,2016-10-21,2018-05-04,15,1.0.3,24,1.1.3,9,1.0.0,26,2.0.0,7
STORM-3059,2018-05-06,2018-05-07,24,1.1.3,24,1.1.3,24,1.1.3,24|25|26,1.1.3|1.2.2|2.0.0,3
STORM-3063,2018-05-08,2018-05-10,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-3065,2018-05-09,2018-05-13,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-3035,2018-04-19,2018-05-14,24,1.1.3,24,1.1.3,24,1.1.3,,,2
STORM-2988,2018-03-07,2018-05-14,24,1.1.3,24,1.1.3,23,1.2.1,23|26,1.2.1|2.0.0,3
STORM-3072,2018-05-14,2018-05-15,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-3075,2018-05-15,2018-05-17,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-3073,2018-05-15,2018-05-21,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,3
STORM-3070,2018-05-11,2018-05-21,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-3079,2018-05-17,2018-05-22,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-3068,2018-05-10,2018-05-22,24,1.1.3,24,1.1.3,16,1.1.0,16,1.1.0,3
STORM-3042,2018-04-26,2018-05-22,24,1.1.3,24,1.1.3,24,1.1.3,,,2
STORM-3055,2018-05-02,2018-05-31,24,1.1.3,24,1.1.3,18,1.1.1,18|26,1.1.1|2.0.0,2
STORM-3084,2018-05-24,2018-06-01,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-3053,2018-04-30,2018-06-01,24,1.1.3,24,1.1.3,24,1.1.3,26,2.0.0,2
STORM-3087,2018-05-28,2018-06-03,24,1.1.3,24,1.1.3,23,1.2.1,23|26,1.2.1|2.0.0,4
STORM-3048,2018-04-30,2018-06-03,24,1.1.3,24,1.1.3,24,1.1.3,,,2
STORM-3092,2018-06-01,2018-06-05,24,1.1.3,26,2.0.0,22,1.1.2,26,2.0.0,3
STORM-3091,2018-06-01,2018-06-05,24,1.1.3,26,2.0.0,22,1.1.2,26,2.0.0,4
STORM-3098,2018-06-07,2018-06-08,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,5
STORM-3096,2018-06-05,2018-06-08,26,2.0.0,26,2.0.0,26,2.0.0,,,3
STORM-3097,2018-06-06,2018-06-09,26,2.0.0,26,2.0.0,22,1.1.2,22|23|26,1.1.2|1.2.1|2.0.0,2
STORM-3102,2018-06-13,2018-06-16,26,2.0.0,26,2.0.0,20,1.0.6,20|24|25|26,1.0.6|1.1.3|1.2.2|2.0.0,2
STORM-3109,2018-06-15,2018-06-17,26,2.0.0,26,2.0.0,15,1.0.3,15|16|17|18|19|20|21|22|23|24|25|26,1.0.3|1.1.0|1.0.4|1.1.1|1.0.5|1.0.6|1.2.0|1.1.2|1.2.1|1.1.3|1.2.2|2.0.0,2
STORM-3103,2018-06-13,2018-06-17,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,2
STORM-3116,2018-06-19,2018-06-21,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3118,2018-06-21,2018-06-22,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3117,2018-06-20,2018-06-25,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3110,2018-06-15,2018-06-25,26,2.0.0,26,2.0.0,26,2.0.0,,,2
STORM-3122,2018-06-24,2018-06-26,26,2.0.0,26,2.0.0,26,2.0.0,,,0
STORM-3121,2018-06-24,2018-06-26,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3120,2018-06-24,2018-06-27,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3129,2018-06-27,2018-06-28,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,4
STORM-3124,2018-06-27,2018-06-28,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,3
STORM-3127,2018-06-27,2018-07-09,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,1
STORM-3126,2018-06-27,2018-07-09,26,2.0.0,26,2.0.0,26,2.0.0,26,2.0.0,1
