PROJ,WF_ITER,MODEL,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,THRESHOLD_STRATEGY,THRESHOLD,PRECISION,RECALL,F1,SPECIFICITY,BALANCED_ACCURACY,G_MEAN,MCC,KAPPA,AUC,TP,FP,TN,FN
STORM,1,NaiveBayes,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.08021059151440074,0.7,0.143928869130314,0.8288283096075154,0.7644141548037577,0.7616953569014719,0.19587527887293416,0.11060747467694236,0.8149295858015817,259,2970,14381,111
STORM,1,IBk,BestFirst (backward),SMOTE,none,DEFAULT,0.5,0.0730277185501066,0.37027027027027026,0.12199465716829919,0.899775229093424,0.6350227496818471,0.5772001535506696,0.12549820720332422,0.09026378118771142,0.7857800858895897,137,1739,15612,233
STORM,1,RandomForest,none,none,CostSensitive,DEFAULT,0.5,0.05555555555555555,0.0891891891891892,0.06846473029045642,0.9676675695925306,0.52842837939086,0.2937779534557199,0.045165970228311626,0.043862571081873455,0.7416196901183357,33,561,16790,337
STORM,1,NaiveBayes,none,none,CostSensitive,DEFAULT,0.5,0.08276923076923078,0.727027027027027,0.14861878453038674,0.8281943403838395,0.7776106837054333,0.7759637034616198,0.20513432470243262,0.11545705224486141,0.8333906294052683,269,2981,14370,101
STORM,1,IBk,none,none,CostSensitive,DEFAULT,0.5,0.0634231103388358,0.1972972972972973,0.09598948060486522,0.9378710160797649,0.5675841566885311,0.4301620818784562,0.07842221338177917,0.06649040619685208,0.7392313239987726,73,1078,16273,297
STORM,2,RandomForest,none,none,none,DEFAULT,0.5,0.7549019607843137,0.21329639889196675,0.3326133909287257,0.9985627227779694,0.6059295608349681,0.46150821535081926,0.39563176614014317,0.3265805572436518,0.9593362821006511,77,25,17369,284
STORM,2,NaiveBayes,none,none,none,DEFAULT,0.5,0.1281645569620253,0.4487534626038781,0.19938461538461538,0.9366448200528918,0.692699141328385,0.6483229181732831,0.21152712959812342,0.17323332068804828,0.8630873606557743,162,1102,16292,199
STORM,2,IBk,none,none,none,DEFAULT,0.5,0.273015873015873,0.23822714681440443,0.2544378698224852,0.9868345406461998,0.6125308437303021,0.48486160602387113,0.24061704414843713,0.24003753731438474,0.6901679408666725,86,229,17165,275
STORM,2,RandomForest,BestFirst (backward),none,none,DEFAULT,0.5,0.8811188811188811,0.6980609418282548,0.7789799072642968,0.9980453029780384,0.8480531224031467,0.8346834395051309,0.7803902318708579,0.7749342633223875,0.9779688891989055,252,34,17360,109
STORM,2,NaiveBayes,BestFirst (backward),none,none,DEFAULT,0.5,0.13984835720303285,0.4598337950138504,0.21447028423772607,0.9413015982522709,0.7005676966330606,0.6579075057916154,0.22666471264605428,0.18918799149427912,0.8335120971761842,166,1021,16373,195
STORM,2,IBk,BestFirst (backward),none,none,DEFAULT,0.5,0.8862068965517241,0.7119113573407202,0.7895545314900153,0.9981027940669196,0.85500707570382,0.8429476347257557,0.7905640195571331,0.7856720231735939,0.9699378936984989,257,33,17361,104
STORM,2,RandomForest,none,SMOTE,none,DEFAULT,0.5,0.24504950495049505,0.2742382271468144,0.2588235294117647,0.9824652178912269,0.6283517225190206,0.5190660069662613,0.24295849765969846,0.24255732518078063,0.8272903191695038,99,305,17089,262
STORM,2,NaiveBayes,none,SMOTE,none,DEFAULT,0.5,0.11225658648339061,0.5429362880886427,0.18604651162790697,0.9108888122341037,0.7269125501613731,0.7032457540404043,0.21509862002299518,0.15766191940269297,0.8589917974071359,196,1550,15844,165
STORM,2,IBk,none,SMOTE,none,DEFAULT,0.5,0.015580926796507723,0.32132963988919666,0.029720727645400968,0.5786478095895137,0.44998872473935514,0.4312037711779326,-0.028608136859973606,-0.009428972654605529,0.548194095012226,116,7329,10065,245
