LOC,NumParameters,NumBranches,NestingDepth,NumCodeSmells,NumLocalVariables,NumRevisions,NumAuthors,TotalStmtAdded,TotalStmtDeleted,MaxChurn,AvgChurn,HasFixHistory,Buggy
0.035971,0,0.007284,0.055556,0,0,0,0,0,0,0,0,0,no
0.043165,0.454545,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.043165,0.454545,0.007284,0.055556,0,0,0.041667,0.2,0.042857,0,0.049587,0.049587,0,no
0.035971,0.454545,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.064748,0.090909,0.007284,0.055556,0.011905,0.073171,0.083333,0.4,0.064286,0,0.066116,0.03719,0,no
0.280576,0.272727,0.029136,0.055556,0,0.170732,0.125,0.4,0.285714,0.010309,0.280992,0.112948,1,no
0.064748,0.090909,0.007284,0.055556,0,0.04878,0.041667,0.2,0.064286,0,0.07438,0.07438,0,no
0.043165,0,0.007284,0.055556,0,0,0.125,0.4,0.057143,0.020619,0.049587,0.027548,1,no
0.086331,0.090909,0.014568,0.111111,0,0.073171,0.083333,0.4,0.092857,0.010309,0.099174,0.057851,0,yes
0.086331,0.272727,0.014568,0.111111,0,0.02439,0.041667,0.2,0.085714,0,0.099174,0.099174,0,no
0.086331,0.272727,0.014568,0.111111,0,0.02439,0.041667,0.2,0.085714,0,0.099174,0.099174,0,no
0.035971,0,0.007284,0.055556,0,0,0.041667,0.2,0.035714,0,0.041322,0.041322,0,no
0.151079,0.090909,0.021852,0.111111,0,0.097561,0.083333,0.2,0.157143,0.010309,0.173554,0.095041,0,no
0.086331,0,0.014568,0.055556,0,0.073171,0.25,0.8,0.107143,0.030928,0.07438,0.024793,0,no
0.251799,0.090909,0.03642,0.222222,0,0.219512,0.083333,0.2,0.257143,0.010309,0.297521,0.152893,0,no
0.122302,0.090909,0.014568,0.055556,0,0.073171,0.041667,0.2,0.121429,0,0.140496,0.140496,0,no
0.115108,0.090909,0.014568,0.055556,0,0.073171,0.041667,0.2,0.114286,0,0.132231,0.132231,0,no
0.100719,0.181818,0.007284,0.055556,0,0.02439,0.041667,0.2,0.1,0,0.115702,0.115702,0,no
0.05036,0.272727,0.007284,0.055556,0,0,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.258993,0.090909,0.03642,0.166667,0.02381,0.146341,0.041667,0.2,0.257143,0,0.297521,0.297521,0,no
0.05036,0.090909,0.007284,0,0.02381,0.097561,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.115108,0.090909,0.014568,0.055556,0,0.073171,0.041667,0.2,0.114286,0,0.132231,0.132231,0,no
0.179856,0.090909,0.029136,0.055556,0,0.073171,0.041667,0.2,0.178571,0,0.206612,0.206612,0,no
0.158273,0.090909,0.014568,0.111111,0,0.146341,0.041667,0.2,0.157143,0,0.181818,0.181818,0,no
0.23741,0.090909,0.043704,0.111111,0.02381,0.219512,0.125,0.6,0.242857,0.010309,0.14876,0.096419,0,no
0.309353,0.090909,0.065557,0.277778,0.02381,0.317073,0.041667,0.2,0.307143,0,0.355372,0.355372,0,no
0.129496,0.090909,0.014568,0.111111,0,0.121951,0.041667,0.2,0.128571,0,0.14876,0.14876,0,no
0.05036,0.090909,0.007284,0,0.02381,0.097561,0.041667,0.2,0.05,0,0.057851,0.057851,0,no
0.079137,0.090909,0.007284,0.055556,0,0.04878,0.041667,0.2,0.078571,0,0.090909,0.090909,0,no
0.201439,0.090909,0.029136,0.111111,0,0.146341,0.041667,0.2,0.2,0,0.231405,0.231405,0,no
0.201439,0.090909,0.029136,0.111111,0,0.146341,0.041667,0.2,0.2,0,0.231405,0.231405,0,no
